,t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
51,941803342.99,941803352.99,941803348.2465713,941803343.16,941803352.975,1.9789548351676207,0.8807702776906442,4.076646960445299e-16,1.814386772042727e-16,19.338910293490212,0.39972101642965896,0.6394013754450185,-1.1640443951130868,1.0572420149340336,-2.3979314539329585e-16,2.1779185507641086e-16,,,,4.5540535244512235,0.7039515543639862,9.38135026036952e-16,1.4501402019898115e-16,18.4340046734122,0.15605717657348706,0.18231474667384973,35.0,41.85146999900292,17.0,14.297602691807064,9.189938101143891,23.664997558853077,52.54896593707567,0.8365952811350723,267.477783203125,171.2710418701172,264.34650410387434,53.168369868454754,-26.3574824672815,8.54285717010498,0.0
52,941803352.99,941803362.99,941803357.1309618,941803353.045,941803362.725,2.8041461753095067,1.0786695758996132,5.776541121137584e-16,2.2220593263532027e-16,18.96049837773024,0.3533653345668526,0.5272289376519801,1.0342219564580866,1.1644665726972938,2.1304972303036584e-16,2.3988011397564246e-16,20.0434656160633,0.8188748926826932,,6.752319876022398,0.8568662319051669,1.390977894460614e-15,1.7651444377246434e-16,18.00636748041807,0.12971299628041774,0.14733944742201288,52.0,62.098335501941,26.0,21.937137803697233,9.196592673645872,36.30974533025749,52.587017434254854,0.837712834220963,268.91342163085943,172.21185302734375,262.81387126589283,53.16785528667474,-26.35674377895072,8.923076629638672,0.0
53,941803362.99,941803372.99,941803367.5753733,941803363.165,941803372.825,6.074771877268432,1.106039728443247,1.2514030067172974e-15,2.2784418405930887e-16,18.121175065642518,0.18160889768356012,0.21821097007593693,2.9435949567490782,1.2505397651851369,6.0638056109031e-16,2.576111916281381e-16,18.907804874551413,0.3844108159196189,0.6005173359042786,8.661692876313387,0.9705605004629728,1.784308732520558e-15,1.999354630953724e-16,17.735993048538944,0.11531279402942828,0.12903123577462594,67.0,79.64533366366047,17.0,14.37134721407228,9.1951232629665,23.78705745777481,52.57861520010614,0.8414550887395661,271.84307861328125,172.01724243164062,261.5345756258528,53.16864200697072,-26.35688305531535,9.731343269348145,0.0
54,941803372.99,941803382.99,941803377.6793939,941803373.185,941803382.98,-0.4092536702350728,0.9848330200385494,-8.430625606842498e-17,2.0287560212794118e-16,,,,-1.462855175066471,1.0413742892362974,-3.0134816606369303e-16,2.1452310358267722e-16,,,,4.25524274449784,0.6802188991290826,8.765800053665551e-16,1.4012509322059103e-16,18.507689150294603,0.16100860304329245,0.18911349249024667,33.0,39.1337342486336,31.0,25.917223605529674,9.196592673645872,42.897473553980156,52.587017434254854,0.8436119790808506,272.67169189453125,169.32595825195312,263.4824692107254,53.16827359742521,-26.353923554797497,9.78787899017334,0.0
55,941803382.99,941803392.99,941803387.9448037,941803383.09,941803392.795,2.615027812051542,1.066437888936201,5.386957292826175e-16,2.1968620512085736e-16,19.03630921961482,0.3713611162445147,0.5688497080761472,0.8202311184678769,1.154297682331042,1.6896761040438262e-16,2.3778532256019464e-16,20.295159395465397,0.9538180774875578,,6.538329038032187,0.8430809363372209,1.3468957818346308e-15,1.736746728854675e-16,18.04133306890045,0.13168138727935386,0.14988531118111226,51.0,60.144373656584435,26.0,21.80402385805344,9.1987376754422,36.089418799536745,52.599282764563895,0.8483081891854743,273.70315551757807,168.1547393798828,264.0134803342949,53.16660381828586,-26.355541824472777,9.56862735748291,0.0
56,941803392.99,941803402.99,941803397.7591381,941803393.25,941803402.895,2.9957658367906643,1.1426115291783392,6.171277623788769e-16,2.3537797501073794e-16,18.888730340385443,0.3508055656862545,0.5214907009633158,1.7851631612661143,1.1988130798506047,3.6774361122081957e-16,2.4695549444922456e-16,19.450805209664928,0.5577936119002658,1.2088023158592875,7.503261080830426,0.9031054288584704,1.5456717826510675e-15,1.8603971834484487e-16,17.891874854322644,0.12339565660751005,0.13923970152138665,58.0,69.02766942686657,30.0,25.053314487223126,9.199689132931905,41.467555013334845,52.604723291656335,0.8408215048525959,274.16854858398443,165.4998321533203,266.1275688191324,53.16761577325118,-26.356587808037897,8.913793563842773,0.0
57,941803402.99,941803412.99,941803407.9216912,941803403.02,941803412.915,4.721768842417604,1.1833263902281312,9.726843815380264e-16,2.4376523638699505e-16,18.394738194837316,0.2428054597361431,0.3132314631445894,3.0813272008086603,1.2564409764154651,6.347534033665839e-16,2.588268411415858e-16,18.858155455635227,0.3713213015235013,0.5687550623267157,8.799425120372971,0.9781894614982919,1.8126815747968322e-15,2.015070290686481e-16,17.71886425008059,0.114446535236727,0.127947320774485,68.0,80.92126078647425,27.0,22.65560769125297,9.196198578827653,37.498936868280786,52.58476396149466,0.8405511972919257,272.79464721679693,162.97628784179688,269.00082137784244,53.168295253222354,-26.3567524160612,9.573529243469238,0.0
58,941803412.99,941803422.99,941803418.3732935,941803413.22,941803422.97,12.837198556517944,1.4670017851781991,2.644462902642696e-15,3.0220236774670913e-16,17.308824353477494,0.11748331381219045,0.1317556950125791,10.597419524785025,1.547777527495952,2.1830684221057164e-15,3.1884217066416613e-16,17.516999681785993,0.14801109553513214,0.17142182094054448,16.31551744434934,1.3318830158367974,3.360996593535964e-15,2.7436790126238023e-16,17.048497870172636,0.0851997225355845,0.09245920843432387,126.0,150.06158945485006,23.0,19.328352873851358,9.197476572023886,31.991756480857426,52.59207165173128,0.8400258384599923,269.45352172851557,161.58856201171875,271.8131651571116,53.167431646166925,-26.355863281671468,8.79365062713623,0.0
59,941803422.99,941803432.99,941803428.4792486,941803422.99,941803432.98,18.92304380481345,1.8196379752405785,3.89814702379157e-15,3.748454228995592e-16,16.887522513213842,0.09968477509497477,0.1097709848249373,18.96852885970361,1.8182784236143483,3.907516945098945e-15,3.7456535526455583e-16,16.884915875847405,0.0993853500519144,0.109407958654959,24.686626779267932,1.6384029572708256,5.0854451165291926e-15,3.3751100919779014e-16,16.598845621791643,0.06976779787489917,0.07456072135922298,193.0,227.02937637821225,38.0,32.02356038650507,9.196451925496511,53.004513743180816,52.5862126225548,0.850354093406727,267.37515258789057,161.33070373535156,273.042822887817,53.16906385834454,-26.356267082837796,9.202072143554688,0.0
60,941803432.99,941803442.99,941803438.4328457,941803433.01,941803442.98,28.59837978653254,1.983435134252353,5.891266236025704e-15,4.085876376559846e-16,16.439146426766587,0.07280456591031381,0.07803965482681008,26.674811879536783,2.0354680453635496,5.4950112471845774e-15,4.1930641734489117e-16,16.51474658673785,0.07984015394627875,0.08618056818704645,32.39290979910109,1.8765669075569549,6.672939418614824e-15,3.865727829567327e-16,16.30387509578708,0.06114377784614077,0.06479368890126835,253.0,297.9695029137695,25.0,21.08805897572168,9.198602557218807,34.90437347705657,52.59851014533182,0.8493648035525896,264.662109375,163.3445281982422,272.6209034034937,53.16823051638366,-26.35626485846895,9.043478012084961,0.0
