t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
930030557.99,930030567.99,930030563.7536362,930030559.84,930030567.445,0.810064563425614,0.4572379678372382,1.6687330006567648e-16,9.419102137447107e-17,20.308700914463714,0.4859016702483636,0.902395799985328,0.4713361863661688,0.4962664032917263,9.709525439143077e-17,1.0223087907809561e-16,20.896673041085425,0.7809155961405096,,1.3565181166211149,0.3860458815091892,2.7944273202394967e-16,7.952545159089298e-17,19.74893600439466,0.27190784725155837,0.3636062084019791,11.0,12.347338354859945,3.0,2.701896214743484,9.102228863419333,4.973945304414141,8.057128514943809,0.8910720201388408,165.91392517089844,294.72259521484375,256.6702600364783,214.94434881000004,52.995701911409085,10.818181991577148,0.0
930030567.99,930030577.99,930030573.5873076,930030569.03,930030577.945,-0.018335843092111666,0.5943964126273776,-3.7771836769750035e-18,1.2244566100123978e-16,,,,0.7140457860449447,0.5223677324362831,1.4709343192525861e-16,1.0760775288187431e-16,20.445684848748872,0.5960942108239884,1.4278841745108153,1.599227716299891,0.41910215360509306,3.294409095577775e-16,8.633504364264916e-17,19.570224230110362,0.25270459890098707,0.32995522559808776,13.0,14.560652286433676,9.0,8.000175884094652,9.104802360555905,14.727596513901517,8.059406528106667,0.8929528603287277,165.44546508789062,296.8264465332031,256.24326719506587,214.9443164216154,52.99445225956923,10.384614944458008,0.0
930030577.99,930030587.99,930030583.895,930030578.605,930030587.685,0.21035744052750513,0.47042432770838766,4.333363274866606e-17,9.690741150792785e-17,21.772605304994702,1.2751250963766516,,0.22780450861865825,0.46838391776791594,4.69277287754436e-17,9.648708706019068e-17,21.686094211958938,1.212911209924897,,1.1129864388736044,0.3495673573301871,2.292752064079625e-16,7.201087561001855e-17,19.963775318179945,0.29655494175740316,0.4093171546374812,9.0,10.13719971627366,5.0,4.465859641611131,9.108107127102997,8.221241612965946,8.062331847737862,0.8880253703467375,165.12664794921875,298.5001220703125,255.86659946798778,214.94306065955556,52.99444727622222,11.88888931274414,0.0
930030587.99,930030597.99,930030594.1533333,930030588.445,930030597.88,0.37201108703965946,0.34592098115941194,7.663428393016985e-17,7.125972211883886e-17,21.153610291636703,0.7138186731267666,2.885200104411716,-0.15384426004402527,0.4211354996514133,-3.1691917569069206e-17,8.675391292819114e-17,,,,0.7313376702109209,0.28326331698523605,1.5065556006344969e-16,5.835224329895863e-17,20.41970514020053,0.35544334156449153,0.5319196433516176,6.0,6.665845064608469,2.0,1.779075080160573,9.114592801825744,3.2751154884774185,8.06807284980795,0.9001847531784389,166.15692138671875,300.8092346191406,254.01061661312096,214.94260463950002,52.99324632463333,10.166666984558105,0.0
930030597.99,930030607.99,930030600.36125,930030598.625,930030604.415,-0.04809294990106176,0.33738355980046986,-9.907147679618723e-18,6.95010133188968e-17,,,,-0.3903845828056785,0.38906922131841876,-8.041922405796977e-17,8.014825959159426e-17,,,,0.49479734744926773,0.23297229327344976,1.0192825357454916e-16,4.7992292414330647e-17,20.84393159309655,0.41891643013387636,0.6910404017324332,4.0,4.510723185844893,3.0,2.6884288725800114,9.116304299322024,4.949153151795021,8.069587836465335,0.8868474241252466,168.01425170898438,300.45782470703125,252.44015542737765,214.94532158675003,52.994707431825006,8.0,0.0
930030607.99,930030617.99,930030613.0469999,930030608.64,930030617.685,1.036475102311667,0.39238564308777146,2.1351387107620338e-16,8.083144247608092e-17,20.041102814626036,0.34857757755600005,0.5165317058367513,0.3348652560548496,0.4805495021436245,6.898224274729902e-17,9.899319744158665e-17,21.267824775868277,0.9662711945850333,,1.220047186309796,0.3658278473493287,2.5132972037981797e-16,7.536053655396171e-17,19.86405843077691,0.2847308360074763,0.3870180708687485,10.0,11.122431310337241,1.0,0.9090701560483472,9.116394378137617,1.6735155145435483,8.069667572605196,0.8992053897701968,169.68368530273438,299.8029479980469,251.1673825272939,214.9435681637,52.99610963367,9.5,0.0
930030617.99,930030627.99,930030624.0486363,930030619.81,930030627.715,0.6276584825912652,0.4767317110276867,1.2929764741380063e-16,9.820673247170345e-17,20.585691493642617,0.6134978478596587,1.5473928007041806,0.4647776833362174,0.49511303055918054,9.574420276726077e-17,1.019932842951912e-16,20.911886832765354,0.7874413084529941,,1.3499596135911636,0.3847797685277203,2.780916803997797e-16,7.926463231671037e-17,19.754198059978897,0.27228365490077877,0.36428132909334465,11.0,12.308839079200565,4.0,3.577521648141802,9.117931347928685,6.585892124988317,8.071028070491597,0.8937933440187525,171.6954345703125,299.00921630859375,249.6439724620702,214.94414752763635,52.99564348850909,10.454545021057129,0.0
930030627.99,930030637.99,930030634.104375,930030628.695,930030637.61,0.28591905038978727,0.4318508973963507,5.889932438029617e-17,8.896128486364824e-17,21.439392268097407,0.9993554454982636,,0.1081413930243605,0.45386077884030646,2.2277126963018263e-17,9.349532044110313e-17,22.495020100889878,1.7893650856622543,,0.9933233232793067,0.3300363409247254,2.0462460459553718e-16,6.798748623049343e-17,20.08727341788318,0.31146815108642656,0.4384728972797802,8.0,9.058530244866724,4.0,3.504309388545961,9.119417648385982,6.4511150107323365,8.072343716799326,0.8834663446106087,171.9285888671875,298.5907287597656,249.6004985363367,214.942210767125,52.993815012375,9.75,0.0
930030637.99,930030647.99,930030641.9506251,930030638.51,930030647.18,0.4452805886105057,0.40968351587678914,9.172780125376416e-17,8.439480427061857e-17,20.958415592303837,0.7082852956437335,2.7430486928106,0.1031150111511221,0.4531488303128919,2.124169229713115e-17,9.334865904445573e-17,22.546695267306486,1.8298973438931299,,0.9882969414060684,0.3291244824124108,2.0358916992965007e-16,6.779964337695663e-17,20.092781371732723,0.3120931758090748,0.4397209939420321,8.0,9.016843342115685,3.0,2.6912103174165654,9.123617573163036,4.954273538880495,8.076061414320405,0.8878036448677766,171.7843780517578,296.28436279296875,250.67768848161083,214.94235128637501,52.995170519662494,7.875,0.0
930030647.99,930030657.99,930030652.5164287,930030648.42,930030656.505,0.12798387316413368,0.4161345198297308,2.6364677871811537e-17,8.572371108492455e-17,22.312111877385632,1.5713453942305726,,-0.03119879739263305,0.4365942596101,-6.426952262882409e-18,8.99384174796806e-17,,,,0.8539831328623131,0.3059371850861618,1.759205253696365e-16,6.302306012774933e-17,20.251376767590028,0.3324471573299803,0.4815808050443309,7.0,7.7917328370476495,4.0,3.5982273105471343,9.123989148277362,6.624009367143588,8.076390325897338,0.8985996374353206,170.71798706054688,294.4812927246094,252.39738319292678,214.94184035657142,52.995106963157134,10.0,0.0
