t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
822556810.99,822556820.99,822556816.92125,822556811.7,822556820.195,0.016974144384468145,0.35152921417308003,3.4966737432004375e-18,7.241501811965448e-17,24.505530269933715,3.3416338959191094,,,,,,,,,0.5522889350997177,0.2505008772890252,1.1377152063054184e-16,5.160318072153919e-17,20.72458414403782,0.4060887753893887,0.6561607306629043,4.0,4.860871970560005,3.0,2.55932088527829,8.801320579928618,4.711477084262306,,0.8232930023724752,521.4678955078125,169.19879150390625,260.8134342443928,150.140970609019,2.092798824520645,10.75,0.0
822556820.99,822556830.99,822556825.4542857,822556822.5,822556830.475,0.7730587967070834,0.3576818290935929,1.5925011212165918e-16,7.368245679328013e-17,20.359468683980538,0.4128761739643778,0.6744252872290701,,,,,,,,0.9500655136840033,0.32839594052850263,1.9571349581890466e-16,6.764956374887154e-17,20.1356161150662,0.3223352113706639,0.4604848552219458,7.0,8.369731923229821,1.0,0.8470623890676009,8.809636601559287,1.5593648526017199,,0.8365651559169027,522.3355712890625,172.0319366455078,258.71882403918556,150.1390594823776,2.0949808320968972,10.571428298950195,0.0
822556830.99,822556840.99,822556836.6391667,822556835.44,822556838.62,-0.22889618854361118,0.45678039621415273,-4.71526148399839e-17,9.409676162011546e-17,,,,,,,,,,,0.8038692573797455,0.3021960434085557,1.6559706702022757e-16,6.225238494216247e-17,20.317036449695216,0.3464883695916967,0.5119112673141473,6.0,7.07608909419697,6.0,4.9382972622279455,8.802537264905313,9.0909563236469,,0.8480632044472705,522.8748168945312,173.82403564453125,257.39811086911817,150.138706227126,2.094401951289583,12.666666984558105,0.0
822556840.99,822556850.99,822556846.1296428,822556841.79,822556850.805,0.8212543010047807,0.5790454602887557,1.6917838600698483e-16,1.1928336481948368e-16,20.293805857438088,0.5793583943843998,1.325719165031181,,,,,,,,1.8860953797091773,0.46292918101951275,3.885356482200905e-16,9.536341129001963e-17,19.391090872005755,0.23830976615622035,0.305770077082407,14.0,16.5996215606304,6.0,5.090811191598378,8.801050964448015,9.371720602715195,,0.8435110568070947,523.8832397460938,175.25271606445312,256.62891249115614,150.13922431221314,2.0948666057095813,12.785714149475098,0.0
822556850.99,822556860.99,822556856.6344445,822556852.41,822556860.885,0.5262762831251453,0.4686978693726256,1.0841291432377993e-16,9.655176109076087e-17,20.776965503039474,0.6914949999455082,2.402385256512666,,,,,,,,1.2296035321893166,0.37382417132622936,2.5329832763099923e-16,7.700777929320325e-17,19.8555872448538,0.28821070217523115,0.39350823454902084,9.0,10.819207386539343,4.0,3.3616728355185486,8.798939742207537,6.1885340835682365,,0.8320626896646672,525.155517578125,175.40325927734375,257.1139815791596,150.14003656725697,2.094634389645167,11.666666984558105,0.0
822556860.99,822556870.99,822556866.2559999,822556861.775,822556870.03,1.0019859755287581,0.43997727694688304,2.0640911095892418e-16,9.06353190510579e-17,20.077845892761495,0.3952313747699421,0.6277965135254888,,,,,,,,1.3527442841629058,0.39207278880873336,2.786653225375586e-16,8.076699449459907e-17,19.751960731109506,0.27633548647739303,0.371602007172374,10.0,11.904139606949192,2.0,1.6767099005555308,8.79999253836479,3.0866704987499545,,0.8402715164256875,526.2139892578125,175.35867309570312,257.6697437373942,150.1409302502903,2.095618314938321,11.399999618530273,0.0
822556870.99,822556880.99,822556874.2083335,822556871.065,822556879.475,0.1130487834556475,0.415622369450106,2.3288049391863386e-17,8.561820810672184e-17,22.446835267094475,1.6747993012137208,,,,,,,,,0.8163632054015487,0.3046245426245163,1.6817082031271904e-16,6.275265578065037e-17,20.300291444392546,0.3442936092569866,0.5070879807538269,6.0,7.181862138305138,4.0,3.3610178781981523,8.797385882638547,6.187328366682962,,0.8356471548000579,527.2423095703125,172.9460906982422,260.276935347714,150.14067171545634,2.093490074181375,9.0,0.0
822556880.99,822556890.99,822556887.1681249,822556882.14,822556890.91,-0.14339958565399916,0.5110881983194745,-2.9540314644723827e-17,1.0528416885381175e-16,,,,,,,,,,,1.077448128643477,0.3499379735038572,2.2195431450055624e-16,7.208722254179458e-17,19.99900907202751,0.3053627317786294,0.426393278190794,8.0,9.480049334002299,7.0,5.83503382931298,8.798613206501013,10.74176682214435,,0.8439535228436881,527.5720825195312,171.52734375,261.6761183071561,150.14116002356502,2.0950397246991628,13.625,0.0
822556890.99,822556900.99,822556895.9628572,822556891.75,822556899.515,0.4215567396312194,0.41023722655758466,8.68406883640312e-17,8.450886867086243e-17,21.017859907578295,0.7378993217777428,3.9275707289089574,,,,,,,,0.9516680571674979,0.32876535137608004,1.9604361977650455e-16,6.772566238347248e-17,20.133786268952903,0.32217876158667025,0.46016318758413277,7.0,8.379129508908354,3.0,2.535409681798637,8.804676636775662,4.667458732402036,,0.8356964556773521,527.6785888671875,169.90127563476562,263.1487127265197,150.139687714365,2.095104760496803,11.0,0.0
822556900.99,822556910.99,822556906.2012501,822556903.935,822556910.27,0.035156136987954056,0.4913605345548939,7.242164219518536e-18,1.0122027011830814e-16,23.71499712985637,2.938527447788502,,,,,,,,,1.0814476129278179,0.3503029774598993,2.227782082631305e-16,7.216241335673925e-17,19.994986284106883,0.30465471127778443,0.42500547126794075,8.0,9.530667432241396,6.0,5.0088517031956625,8.81287943892066,9.220840635428377,,0.8397749594734122,526.2294921875,169.17526245117188,263.0854313001758,150.13889678878525,2.095774736972004,9.625,0.0
